FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE/GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3005,Executive,0,,1 0,9,9901,Mayor,Annual,1,1,216210.00,216210.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3005,Executive,0,,1 0,0,9637,Administrative Assistant,Annual,2,1,44004.00,88008.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3005,Executive,0,,1 0,9,9617,Administrative Secretary,Annual,1,1,74988.00,74988.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,9,9899,Chief of Staff,Annual,1,1,174996.00,174996.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,9,9898,Deputy Chief of Staff,Annual,1,1,120000.00,120000.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,9,9898,Deputy Chief of Staff,Annual,1,1,144996.00,144996.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,9,9896,Chief Financial Officer,Annual,1,1,169992.00,169992.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,9,9891,Administrative Assistant - Office Administrator,Annual,1,1,83100.00,83100.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,9,9889,First Deputy Chief of Staff,Annual,1,1,154992.00,154992.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,9,9883,Assistant Administrative Secretary III,Annual,1,1,60000.00,60000.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,9,9883,Assistant Administrative Secretary III,Annual,1,1,90000.00,90000.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,9,9882,Assistant Administrative Secretary II,Annual,1,1,40008.00,40008.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,9,9882,Assistant Administrative Secretary II,Annual,1,1,49512.00,49512.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,9,9882,Assistant Administrative Secretary II,Annual,1,1,49668.00,49668.00
LOCAL,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 0,9,9882,Assistant Administrative Secretary II,Annual,1,1,80904.00,80904.00
