FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUBSECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0000,,1 00,9,9901,Mayor,Annual,1,1,216210.00,216210.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0000,,1 00,9,9869,Senior Advisor to the Mayor,Annual,1,1,155712.00,155712.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0000,,1 00,9,9639,Assistant to Mayor,Annual,1,1,134112.00,134112.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,114648.00,114648.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,91932.00,91932.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,82404.00,82404.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3006,Correspondence,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,97584.00,97584.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3006,Correspondence,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,69072.00,69072.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3006,Correspondence,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,55704.00,55704.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3007,Scheduling and Advance,0000,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,129780.00,129780.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3007,Scheduling and Advance,0000,,1 00,9,9876,Scheduler,Annual,1,1,76140.00,76140.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3007,Scheduling and Advance,0000,,1 00,9,9876,Scheduler,Annual,1,1,59520.00,59520.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3007,Scheduling and Advance,0000,,1 00,9,9870,Advance,Annual,1,1,54108.00,54108.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3007,Scheduling and Advance,0000,,1 00,9,9870,Advance,Annual,1,1,53052.00,53052.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,9,9899,Chief of Staff,Annual,1,1,204756.00,204756.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,9,9891,Administrative Assistant - Office Administrator,Annual,1,1,115836.00,115836.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,9,9889,First Deputy Chief of Staff,Annual,1,1,194676.00,194676.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,84348.00,84348.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,9,9855,Assistant Director - Mayor's Office,Annual,1,1,139260.00,139260.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,90624.00,90624.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,71352.00,71352.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,68844.00,68844.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,63516.00,63516.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,60516.00,60516.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,0,9637,Administrative Assistant,Annual,2,1,57936.00,115872.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,131952.00,131952.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,9854,Communications Director,Annual,1,1,178452.00,178452.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,9642,Deputy Press Secretary,Annual,1,1,130152.00,130152.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,87552.00,87552.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,9616,Assistant Press Secretary,Annual,2,1,86580.00,173160.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,9615,Press Secretary,Annual,1,1,129780.00,129780.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,0925,Photographer,Annual,1,1,88692.00,88692.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,0744,Press Aide II,Annual,1,1,81384.00,81384.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,0744,Press Aide II,Annual,1,1,75720.00,75720.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,0740,Press Aide,Annual,2,1,70320.00,140640.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,0740,Press Aide,Annual,1,1,70308.00,70308.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,0740,Press Aide,Annual,2,1,55704.00,111408.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3100,Office of the Chief Financial Officer,0000,,1 00,9,9896,Chief Financial Officer,Annual,1,1,183840.00,183840.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0000,,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,178452.00,178452.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0000,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,139596.00,139596.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0000,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,108156.00,108156.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,75000.00,75000.00
